iter	Passed	Remaining
0	75	11217
1	144	10712
2	215	10535
3	287	10488
4	349	10131
5	419	10062
6	491	10044
7	560	9946
8	628	9846
9	694	9723
10	757	9567
11	822	9458
12	889	9374
13	993	9654
14	1062	9561
15	1129	9458
16	1195	9354
17	1260	9247
18	1327	9153
19	1389	9030
20	1454	8933
21	1522	8859
22	1587	8764
23	1657	8701
24	1724	8622
25	1787	8523
26	1852	8437
27	1917	8355
28	1986	8289
29	2054	8218
30	2119	8134
31	2186	8063
32	2257	8002
33	2330	7951
34	2401	7891
35	2467	7813
36	2536	7746
37	2605	7678
38	2673	7609
39	2739	7533
40	2818	7492
41	2886	7423
42	2953	7349
43	3026	7290
44	3094	7221
45	3173	7175
46	3279	7186
47	3373	7168
48	3478	7170
49	3569	7138
50	3669	7122
51	3763	7092
52	3896	7130
53	3979	7074
54	4050	6995
55	4121	6918
56	4193	6842
57	4264	6763
58	4339	6692
59	4414	6621
60	4484	6542
61	4552	6461
62	4618	6377
63	4682	6292
64	4747	6207
65	4812	6125
66	4880	6046
67	4947	5966
68	5020	5893
69	5092	5820
70	5164	5746
71	5231	5666
72	5300	5590
73	5373	5519
74	5441	5441
75	5509	5364
76	5573	5284
77	5643	5209
78	5706	5128
79	5770	5049
80	5839	4974
81	5910	4901
82	5983	4829
83	6053	4755
84	6115	4676
85	6234	4639
86	6334	4586
87	6421	4524
88	6494	4451
89	6565	4377
90	6640	4305
91	6726	4240
92	6795	4165
93	6859	4086
94	6928	4011
95	7001	3938
96	7073	3865
97	7144	3791
98	7217	3717
99	7289	3644
100	7361	3571
101	7488	3524
102	7559	3449
103	7630	3375
104	7702	3301
105	7772	3226
106	7837	3149
107	7900	3072
108	7980	3001
109	8050	2927
110	8123	2854
111	8192	2779
112	8260	2704
113	8332	2631
114	8407	2558
115	8481	2485
116	8550	2411
117	8621	2338
118	8688	2263
119	8759	2189
120	8831	2116
121	8896	2041
122	8965	1967
123	9038	1895
124	9110	1822
125	9177	1748
126	9246	1674
127	9318	1601
128	9388	1528
129	9474	1457
130	9556	1386
131	9624	1312
132	9691	1238
133	9764	1165
134	9837	1093
135	9906	1019
136	9973	946
137	10043	873
138	10110	800
139	10183	727
140	10255	654
141	10327	581
142	10399	509
143	10470	436
144	10550	363
145	10614	290
146	10682	218
147	10749	145
148	10815	72
149	10883	0
