iter	Passed	Remaining
0	1	278
1	1	198
2	1	158
3	2	134
4	2	120
5	2	112
6	3	105
7	3	103
8	4	112
9	4	113
10	5	108
11	5	105
12	5	102
13	5	99
14	6	96
15	6	94
16	6	92
17	7	90
18	7	89
19	7	87
20	7	85
21	8	92
22	9	90
23	9	89
24	10	90
25	10	89
26	10	88
27	10	87
28	11	85
29	11	84
30	11	83
31	12	82
32	12	81
33	12	80
34	13	79
35	13	79
36	14	81
37	14	81
38	14	80
39	15	81
40	16	84
41	17	84
42	17	84
43	18	86
44	19	86
45	19	87
46	20	89
47	21	90
48	22	90
49	23	92
50	24	94
51	24	93
52	24	91
53	25	90
54	25	90
55	25	89
56	25	88
57	26	87
58	26	86
59	26	85
60	27	84
61	27	83
62	27	82
63	28	82
64	28	81
65	29	80
66	29	80
67	29	79
68	29	78
69	30	77
70	30	76
71	30	76
72	31	75
73	31	75
74	31	74
75	32	73
76	32	73
77	32	72
78	33	71
79	33	70
80	33	70
81	33	69
82	34	68
83	34	68
84	34	67
85	35	67
86	35	66
87	35	65
88	36	66
89	37	66
90	37	65
91	38	66
92	38	65
93	39	65
94	39	64
95	40	64
96	40	63
97	40	63
98	41	62
99	41	61
100	41	61
101	41	60
102	42	60
103	42	59
104	42	58
105	43	58
106	43	57
107	43	57
108	43	56
109	44	56
110	44	55
111	44	55
112	44	54
113	45	53
114	45	53
115	45	52
116	46	52
117	46	51
118	46	51
119	46	50
120	47	50
121	47	49
122	47	49
123	48	48
124	48	48
125	49	48
126	49	47
127	49	47
128	50	47
129	50	46
130	50	46
131	50	45
132	51	45
133	51	44
134	51	44
135	52	43
136	52	43
137	52	42
138	53	42
139	54	42
140	54	42
141	54	41
142	54	41
143	55	40
144	55	40
145	55	39
146	56	39
147	56	38
148	56	38
149	57	38
150	57	37
151	57	37
152	58	36
153	58	36
154	58	36
155	59	35
156	59	35
157	59	34
158	60	34
159	60	33
160	60	33
161	60	33
162	61	32
163	61	32
164	61	31
165	62	31
166	62	31
167	62	30
168	62	30
169	63	29
170	63	29
171	63	28
172	64	28
173	64	28
174	64	27
175	64	27
176	65	26
177	65	26
178	65	26
179	66	25
180	66	25
181	67	25
182	67	24
183	68	24
184	68	24
185	69	23
186	69	23
187	69	23
188	70	22
189	70	22
190	70	21
191	71	21
192	71	21
193	71	20
194	71	20
195	72	19
196	72	19
197	72	19
198	73	18
199	73	18
200	73	17
201	73	17
202	74	17
203	74	16
204	74	16
205	75	16
206	75	15
207	76	15
208	76	15
209	76	14
210	77	14
211	77	13
212	77	13
213	78	13
214	78	12
215	78	12
216	78	12
217	79	11
218	79	11
219	79	10
220	80	10
221	80	10
222	80	9
223	80	9
224	81	9
225	81	8
226	81	8
227	82	7
228	82	7
229	83	7
230	84	6
231	84	6
232	85	6
233	85	5
234	85	5
235	86	5
236	86	4
237	86	4
238	86	4
239	87	3
240	87	3
241	88	2
242	89	2
243	89	2
244	89	1
245	90	1
246	90	1
247	90	0
248	91	0
249	91	0
